wyler-road-chicago,Wyler Road,https://www.yelp.com/biz/wyler-road-chicago,4.0,"[Category(name='Bars', alias='bars'), Category(name='Sandwiches', alias='sandwiches')]",['3581 W Belden Ave'],US,Chicago,IL,60647,114,True,"I felt like I was dragging my lifeless body through the desert since I was not accustomed to the Chicago heat, much less walking several blocks through it....",463
harvest-moon-chicago-2,Harvest Moon,https://www.yelp.com/biz/harvest-moon-chicago-2,3.5,"[Category(name='Lounges', alias='lounges'), Category(name='American (New)', alias='newamerican'), Category(name='Cocktail Bars', alias='cocktailbars')]",['1805 W Division St'],US,Chicago,IL,60622,29,True,"Harvest Moon has a fantastic menu to choose from. Their beer list is great including craft brews from Illinois based breweries. 

They also have awesome...",463
naf-naf-grill-chicago-3,Naf Naf Grill,https://www.yelp.com/biz/naf-naf-grill-chicago-3,4.0,"[Category(name='Middle Eastern', alias='mideastern'), Category(name='Falafel', alias='falafel')]",['28 S Wabash Ave'],US,Chicago,IL,60603,89,True,This place was amazing. My hubby and I are not Chicago natives. We just searched this place on Yelp as we had just arrived to Chicago as we were super...,463
d-nuez-chicago-2,D' Nuez,https://www.yelp.com/biz/d-nuez-chicago-2,4.5,"[Category(name='Salad', alias='salad'), Category(name='Sandwiches', alias='sandwiches')]","['4125 S Archer Ave', 'Fl 1']",US,Chicago,IL,60632,27,True,"Wow! 9 years living in Brighton Park and I never knew about this restaurant! I always tough that was closed! 

Today, My husband & I decided to try their...",464
furious-spoon-logan-square-chicago-4,Furious Spoon - Logan Square,https://www.yelp.com/biz/furious-spoon-logan-square-chicago-4,4.0,"[Category(name='Ramen', alias='ramen'), Category(name='Cocktail Bars', alias='cocktailbars')]",['2410 N Milwaukee Ave'],US,Chicago,IL,60647,123,True,""" ain't no way to explain or say , how painful The Hangover was today.
 in front of the toilet, hands and knees .
trying to breathe between the dry...",465
bombobar-chicago,BomboBar,https://www.yelp.com/biz/bombobar-chicago,4.0,"[Category(name='Coffee & Tea', alias='coffee'), Category(name='Italian', alias='italian'), Category(name='Breakfast & Brunch', alias='breakfast_brunch')]",['832 W Randolph St'],US,Chicago,IL,60607,42,True,"I did my research.  I sat in 95 degrees in direct sun. It was worth it. 
Bombolino is literally the bomb. 
I WILL be back.",466
aloha-eats-chicago,Aloha Eats,https://www.yelp.com/biz/aloha-eats-chicago,4.0,"[Category(name='Hawaiian', alias='hawaiian'), Category(name='Barbeque', alias='bbq')]",['2534 N Clark St'],US,Chicago,IL,60614,801,True,"My boyfriend and I were walking down Clark Street, trying to figure out what to eat. I didn't feel that hungry and saw that Aloha Eats had deep friend shu...",470
uncle-mikes-place-chicago,Uncle Mike's Place,https://www.yelp.com/biz/uncle-mikes-place-chicago,4.0,"[Category(name='Breakfast & Brunch', alias='breakfast_brunch'), Category(name='American (Traditional)', alias='tradamerican'), Category(name='Filipino', alias='filipino')]",['1700 W Grand Ave'],US,Chicago,IL,60622,455,True,"if you aren't Filipino, you are going to have quite an adventure here.  the people of this land love a big brekkie.  a serious 3 course gigantic skirt steak...",470
grace-chicago-3,Grace,https://www.yelp.com/biz/grace-chicago-3,4.5,"[Category(name='American (New)', alias='newamerican')]",['652 W Randolph St'],US,Chicago,IL,60661,239,True,"Went with family for my mother's birthday last year. All of us selected the ""fauna"" option but thinking back the flora would've been just as spectacular....",470
front-bar-chicago,Front Bar,https://www.yelp.com/biz/front-bar-chicago,5.0,"[Category(name='Bars', alias='bars'), Category(name='Coffee & Tea', alias='coffee'), Category(name='Breakfast & Brunch', alias='breakfast_brunch')]",['1700 N Halsted St'],US,Chicago,IL,60614,4,True,Walked in on a double date. Perfect place to have a nice quiet evening with a drink (or a coffee if it suits you). You could read a book at a corner or sit...,470
raymonds-hamburgers-and-tacos-chicago,Raymond's Hamburgers and Tacos,https://www.yelp.com/biz/raymonds-hamburgers-and-tacos-chicago,4.0,"[Category(name='Burgers', alias='burgers'), Category(name='Mexican', alias='mexican')]",['2406 S Blue Island Ave'],US,Chicago,IL,60608,76,True,"Authentic. It's funny that people comment on the American Cheese being a ""sin"" and criticizing the joint for it when it has been around for MANY YEARS. This...",470
peachs-resturant-chicago,Peach's Resturant,https://www.yelp.com/biz/peachs-resturant-chicago,4.0,"[Category(name='American (Traditional)', alias='tradamerican'), Category(name='Vegetarian', alias='vegetarian'), Category(name='Sandwiches', alias='sandwiches')]",['4652 S King Dr'],US,Chicago,IL,60653,138,True,This place is amazing. I came to visit my best friend from Los Angeles and she insisted we go eat brunch here. Ive been to Chicago before but this was my...,471
