topgolf-wood-dale-3,Eric S.,rkdE06BbheP4gEhb3ooH0w,"Oak Park, IL",1,1,1,660,10,ISK-_2nBfh0YMBznmqnn5Q,5.0,2016-08-16,"HOME ON THE RANGE

Two Yelp events and a successful solo visit put me in good position to give these guys a go-round.  Ever since this Wood Dale location first hosted an event for us Chicago &#39;Burbs Elitefolk, I&#39;ve always liked their unique approach to the sport.

TopGolf is basically a driving range that combines the radial scoring concept of darts with &#39;frames&#39; like bowling.  There are balls worth 2X points, bonus balls that get you a special award for a hole-in-one (but what&#39;s the prize??) and a system that works 95% of the time.  But it isn&#39;t foolproof, as occasionally I&#39;d smack a gorgeous shot that would hit the 150ft netting on the fly.....and got zilch.

Each range ball is coded with a tiny microchip that sends a signal from wherever it lands, which then gets displayed on a your golfing bay&#39;s HMI (that&#39;s &#34;human machine interface&#34; for all you non-engineers out there).  Each ball is logged according to your name on a swipe card, so you could theoretically alternate single shots and it&#39;d still track who was shooting.

If this all sounds very confusing, it is.  But it works surprisingly well, and TopGolf employees are more than happy to help first timers.  Everyone from the servers to the hostess/maître-d to the range supervisors were friendly and umm....well....nice to look at.  Like literally every person I saw working here was easy on the eyes, and the clientele weren&#39;t too shabby, either.  Classy place, classy customer base I suppose.

Pretty people are all well and good, but how&#39;s their food?  Top.  Notch.  Knowing that I&#39;d be golfing here around dinner time, I put in an order for pretzel bites and mac&#39;n&#39;cheese eggrolls.  The former were warm salty nuggets that came with spicy mustard &amp; beer cheese, while the latter was a unique take that kinda worked.  Not sure if I&#39;m sold yet, though.

My buddy Jason K ordered tater tots, and when they brought out fries instead, we got to keep both.  Hooray!  A bucket of beer (6 pints) arrived ice cold and amounted to something like $5/pint, reasonable.

On a separate occasion, I saw someone order TopGolf&#39;s legendary &#34;mushi&#34;, which is short for Mexican sushi and is fantastic in both design and execution.  Instead of seaweed (nori) and raw salmon with cucumber, &#34;mushi&#34; is rolled in a tortilla and stuffed with smoked chicken and beans.  In place of wasabi and ginger are sriracha and sour cream.  BRILLIANT!

It goes without saying that TopGolf&#39;s kitchen is really......on the ball......

Bread = 4.5
Circuses = 4.5

I&#39;d come back in a heartbeat.  I mean I practically have to experience the &#34;mushi&#34; for myself and because I&#39;ve still got lots o&#39; credits on my player&#39;s card (which is needed to play here).  Great food, hella cute golfer babes, and a scoring platform that makes it easy for players of all skill levels to compete, or at the very least, just have fun.

Will highly recommend to friends, coworkers, and family members.  It&#39;s been close to impossible to find a venue that&#39;s the perfect amount of boozing + eating + activity for a certain Eric S&#39;s mid-winter birthday party.  Thanks to TopGolf, that quest is now over.

See you guys in January."
topgolf-wood-dale-3,Jo N.,_IwfuXW4an_AW8q1qoRXBQ,"Downers Grove, IL",0,1,0,15,76,9_ngx8Ve31ABLp42IjJ-fA,2.0,2016-09-27,"We went during a fall day and it was kind of cool outside but a sauna inside.  
Some folks had a challenge with the computer software but the staff was helpful.
Had to order a separate meal from the group outing due to dietary restrictions.  Took away a star as they included a 20% tip.  Burger was made as requested.  Condiments didn&#39;t arrive until most of the meal consumed.  Cilantro spiced fries?  Not a &#34;usual&#34; type flavoring for fries.  Should have mentioned it when taking the order.  Horrid! Starbucks coffee was WAY too strong and bitter.  
I&#39;ll pass next time."
topgolf-wood-dale-3,Antonio M.,UL4gAHMbbmTg2_qKGvbNaA,"Skokie, IL",1,1,1,22,78,0qJd0Znb4bpnwW_VfKDsdw,4.0,2016-09-11,"Outdoor golfing arena that serves light appetizers, entrees, and has a full bar. Ideal place for group outings of any size. Perfect during the summer months and I love coming here on cooler nights. The place is open fairly late on weekends and is a nice alternative to weekend nights out. Definitely would recommend. Staff is friendly and the prices per game are reasonable. 

2 games is $15"
topgolf-wood-dale-3,Jesse M.,n0YUqMs6zCWpQ9TjIskOjg,"Palatine, IL",1,1,1,57,155,gExLbHRMUeJlIWs2mRuOCA,5.0,2016-09-12,Great place to come have some golfing fun. The food and drinks and also music is really good as well I&#39;ve been here few times and each time I&#39;ve had a blast. Also had my birthday here which was great !
topgolf-wood-dale-3,Leonard W.,kUoglFkBMTpA86yuZOQWcg,"Bellwood, IL",1,1,1,77,216,54ootsDAZh3xKB6nLzQmaQ,4.0,2016-03-10,"Fore, bogey, birdie, ace, bunker, par, handicap!

A list of things that you can throw out the window. As a complete novice that has only played miniature golf twice. I was a little hesitant about coming here.

Arrived @ 8pm and It wasn&#39;t crowded (in march) so was able to break during the game and enjoy the the heated bay with conversation. Bay&#39;s are isolated enough where you&#39;re not on top of each other, Although I started drink orders at the bar, my group and I ordered food and more drinks in the bay area.

I wasn&#39;t hitting anything out the park but overall enjoyed the time hear. Would come back here again. As the games are affordable and food is decent. 

Brisket Grilled Cheese - simple toasted cheese sandwich with beef  - would order it again
Bacon Mac &#34;N Cheese Spring Rolls - green chill mac and cheese wrapped like an egg roll....Stayed in the fryer to long. Outside was too crunchy. Inside was hot. But flavor wasn&#39;t the strongest as I was expecting for it to be spicy but this was more 1 alarm spice. 

 
Two things I didn&#39;t like...

As a person that has never picked up a golf club besides a putter for miniature golf. It would have been nice to have a visual to explain golf clubs or the person that handed me the free rentals to offer an explanation of the clubs after I had mention I&#39;ve never played.

Place closes @ 11pm (during winter)  and bay heat was turned off @ 10pm. (well my date did move closer so I can&#39;t say I didn&#39;t &#34;like&#34; this part but...)"
topgolf-wood-dale-3,Tiffany P.,9yccZkhkCpIoZsX7sY5Fpg,"Downers Grove, IL",1,1,1,222,267,0LvhN_HquiTunR1n3-uPIA,3.0,2016-04-05,"Top golf is okay. They are expensive, and the Naperville location is even more expensive!

Yes, it&#39;s cool that they come serve you food, and the food is pretty decent. I liked the flatbread that we ordered! Also, they have a decent selection of drinks. I was happy to get me some Goose Island on a Friday night :-)

The bays are &#34;heated&#34; but if it&#39;s cold, it&#39;s cold. It&#39;s not like you don&#39;t need a jacket.

The game is fun, and it&#39;s fun that it&#39;s computerized so that you know how many yards you hit to your target. 

Overall though, I think I&#39;d rather go to a traditional golf dome for winter time golfing because: 1.) Most important, you can crack a driver if it gets too cold. I wouldn&#39;t want to risk that if it&#39;s super cold out at top golf. 2.) Expensive. I could drive 2-3 times the number of balls for the same price. 

If you want to feel &#34;cooler&#34; and have good hot food however, TopGolf might be your choice. If you&#39;re mostly focused on golf, I would go to a dome."
topgolf-wood-dale-3,Keerthana K.,TpbLY_Cyn_gCXljSQHpSSA,"Chicago, IL",1,1,0,30,48,twF8LYXLp7IdN5vMgWn2dw,3.0,2016-09-11,"This was my first experience at a topgolf and it was super fun despite the 1.5 hour wait on a Sunday afternoon. The crowd was amazing, and everything was pretty clean and in good condition. The lane service, however, was awful. After finishing our games, literally had to wait 30 minutes (by the kitchen!) to get my receipt to pay and leave. The waitresses are definitely pretty but really should be more competent."
topgolf-wood-dale-3,Michelle S.,0QLaWF0MI-436hvGGt1tkA,"Roselle, IL",0,1,1,21,149,dULalLw6LpTNPKMul5xJnQ,5.0,2016-09-11,Such a fun place and atmosphere! Taryn was our server and she was so informative and made our experience soooo much fun! We had a ton of food and everything was absolutely amazing!! The game is awesome(even if I was horrible) and was such a fun game to play.  I will definitely be reserving a birthday party in the future and will be requesting Taryn as my server!
topgolf-wood-dale-3,Nancy Ann M.,i6ZR1GyLohCKWAnt0pzSWQ,"Bolingbrook, IL",1,1,1,41,11,-4aLgGkS6aY_PwU-KeIM4Q,4.0,2016-05-25,"What a great Yelp! event! This was our first time at Top Golf and we are hooked!  First you should know it&#39;s not a traditional driving range. You aim for targets and get points based in where your ball falls.  Second, the food is yummy! Third, great drinks! I recommend the sangria."
topgolf-wood-dale-3,Alan L.,jSUyJ-xrqAnHerD30S5JMg,"Schaumburg, IL",0,1,0,9,83,w5LDgiG4Bvrh4qaBuqdESQ,5.0,2016-09-02,Enjoying Asian Wings at Top Golf!  #Jeanne and TJ are fabulous hosts and took great care on us.  #bananas #Topgolf
