business_id,username,user_id,user_location,elite_status,hasprofile_pic,no_of_checkins,no_of_friends,no_of_reviews_posted,review_id,star_rating,review_date,review_text
riverview-diner-montgomery,Corinne Y.,aRLuIK9vXrH721udlcE82w,"Elgin, IL",0,1,0,13,11,2n-gRxMgXMSf_dt4OC1rVQ,4,28/10/16,"I have only been here for breakfast and it was very good. I had a chorizo omelette which came with sides for a reasonable price. The coffee was pretty sub-par, though. Nice building and service. I&#39;ll definitely go back for lunch or dinner some time."
riverview-diner-montgomery,Marilyn O.,nvI2JxWZgPihoFO7GuYTPQ,"Oswego, IL",0,1,0,0,34,TDVR-KasAg9g9Aczo0iToQ,4,03/09/16,"The walleye fish dinner was delicious. I should say we have only been there one time for this meal, but the service was good, the quality was good, and the quantity was more than adequate. I found it to be a very enjoyable meal.However my previous reviews on the other menu items, remain as stated.I think the menu is 5 times larger than it should be, and I think that the owner would do better training his cooks to prepare a few meals well, rather than to assemble many, many Items poorly.On another note, he has recently added a very large, a very bright; almost blinding, sign that when traveling past it at night, is annoying and almost dangerous.I think that the owner would have done far better to use that money on hiring a consultant to downsize &amp; improve his menu."
riverview-diner-montgomery,Alex A.,z4lemVkxHcm2QlwSi904fA,"Aurora, IL",0,1,1,0,133,ca0oz2Q7_HorQuwrraKsFA,3,02/10/16,Over all this place is pretty good. I had The meat lover skillet. Place charges $10 for a skillet so that&#39;s about standard. Service was really good and food was good. I&#39;d recommend this place for breakfast.
riverview-diner-montgomery,Kristina U.,r_YZfGYzsldQZv_lnqObMQ,"Urbana, IL",1,1,1,31,91,6Q6PanIXhJPXT0hWnORRPg,4,13/09/16,"This diner was a very pleasant surprise. The prices are decent, especially for their dinners after 4 PM, and the food is tasty as well as plentiful. Everything is cooked well, and with some level of care, the pies here were particularly outstanding."
riverview-diner-montgomery,Josue O.,_DCaUNxX4ABFSKw_JnMrSQ,"Montgomery, IL",1,1,1,17,162,o66M1UG4q4xURgnzO6O3mQ,5,31/08/15,"I&#39;ve read lots of reviews of Riverview Diner, so my expectations were high as we went in. The new building is really nice and very comfortable and clean. Even though they were slammed for Sunday brunch, we were quickly seated. The bussers were fast and attentive, presenting us with cups of coffee and water immediately and keeping both topped off. Our server came and took our order quickly, but we never saw her again until she dropped off the check. If it weren&#39;t for the bussers, we would have been parched through our meal.The food was better than average, but nothing particularly special. My wife and I agreed that we have had better pancakes, although these were good. The portions were sizable, but they should have been, since our bill was $29 for my wife&#39;s pancakes, bacon, and juice and my eggs, bacon, hash browns and coffee.Not a bad experience, but with all the other choices out there, the folks here might consider stepping up their game a bit, at least in the wait-staff department. I&#39;d eat here again, but it definitely isn&#39;t my first choice."
riverview-diner-montgomery,Patrick H.,FJf9ytjOQLZm7w3J4ZugiA,"Aurora, IL",1,1,0,112,57,OSGsDiUHvBivKjHMWmqENg,3,17/03/16,"This place is awesome!!!I&#39;m so impressed with the service and prices. Â Not to mention the quality and taste of the food.I&#39;ve had a few things from here and nothing has ever left me disappointed. Â By the way, the burgers are HUGE!!!!Finally a place you can take your family that doesn&#39;t end up breaking the bank."
riverview-diner-montgomery,Rossel E.,vKmjfUd47QPj447AV2MqUA,"Aurora, IL",1,1,1,37,65,RmV5KXxPyIPGsvFExu6YEg,5,30/01/16,"My family&#39;s go to place for just lazy weekend brunch or dinner. Friday&#39;s a fish fry heaven for those who look for a chuckload of fried favorites. Really good homey and traditional cabin dining feel plus you got a view of the fox river.They serve breakfast the entire day and the price are very reasonable. Tried majority of the skillet combinations and they&#39;re very good. Just don&#39;t order for the pasta dishes since majority of the staff and maybe the cook are latinos unless you want your spaghetti tasting like salsa and taco spices. Eveything else is awesome though and did I say free dessert choices for any dinner orders (go for the pies)? Friday&#39;s are FishFry AYCE. I can only have enough fish and chips per meal, but you could substitute for a mash/bake potatoes if you want to mix it up. Some of the choices are cod, walleye, and perch. You can&#39;t switch to a different fish for every plate though and would need to stick with cod if you initially ordered cod. My personal favorite is perch, I find it more flavorful and lightly breaded. The broasted chicken is also a must try. Enough balance of crunch and moist on the chicken to go along with the mashed potatoes, the veggies are a little overcooked and not lightly steamed as I would prefer it.The service is fast and they&#39;re very attentive to order details. Everyone&#39;s very friendly, like every knew each other. One time we accidentally left my son&#39;s ipad and they found it while cleaning up our table. The hostess kept it safe and I got it after an hour when in most cases it won&#39;t be returned. Kudos to your honest staff. I&#39;ll keep on going here and so far have really good dining experience."
riverview-diner-montgomery,Matt W.,gx36YHwubYBy5MPtcqt1ng,"North Aurora, IL",0,1,0,2,72,#NAME?,4,30/09/16,"Very good food and selection. Â Strongly recommend the fish fry on Fridays with the Walleye. Â Nice staff, clean family owned restaurant."
riverview-diner-montgomery,Steven W.,FQEhODE6Mh2PrGrr89EJEA,"Franklin, TN",0,1,1,56,25,DIJLY3PaOaCwVvyD2T2CaA,5,09/07/16,The guy who brought us said it wasn&#39;t as good as usual-hope that&#39;s true. Food was average to below average. The place is nice and clean but the food is not very good.
riverview-diner-montgomery,Eddie O.,zEvOTdkXeguphbGwyt_TKQ,"Oswego, IL",0,1,0,7,1,lDKM2jGqToJixzPfXhfnRw,2,10/12/15,"We went in on 4th of July around noon so it was very busy. Â The host staff did an excellent job managing the wait. Â Our server was great, Â she had the cutest hello kitty tatoo. Â She was very knowledgeable about the menu and did have great suggestions. Â I had prime rib which I ordered medium, Â it came out closer to medium Â well or well done. Â Since it was my first time I got both brown and chicken gravy to try, Â brown was for sure the better of the two. Â Wife and daughter had chicken fried steak with brown gravy, Â both were excellent. Â Mashed potatoes are from scratch and we&#39;re great. Â Son had a meat breakfast skillet and pancakes all excellent. Â We got 4 pieces of pie to go, Â they look good.The restaurant was recently rebuilt and is very nice, Â my daughter said the restroom wad very clean. Â For 4 drinks, 4 entrees and 4 desserts it was $72.00. Â Over a great experience except for the overdone prime rib otherwise I would give it a 5."
